De_ionic (eV), coupling (eV), mean_yield (%), std (%)
2.80, 0.018, 65.83, 0.21
2.80, 0.020, 64.17, 1.15
2.80, 0.022, 63.40, 1.42
2.80, 0.024, 61.40, 0.95
2.80, 0.026, 61.90, 1.11
3.00, 0.018, 64.17, 1.16
3.00, 0.020, 64.70, 1.71
3.00, 0.022, 63.63, 1.27
3.00, 0.024, 63.43, 0.15
3.00, 0.026, 61.77, 1.19
3.20, 0.018, 63.73, 0.35
3.20, 0.020, 63.83, 1.19
3.20, 0.022, 62.37, 1.97
3.20, 0.024, 61.97, 1.59
3.20, 0.026, 62.93, 2.15
3.40, 0.018, 63.17, 1.31
3.40, 0.020, 62.03, 1.07
3.40, 0.022, 63.43, 0.78
3.40, 0.024, 64.37, 0.46
3.40, 0.026, 62.33, 1.07
